record_id,campaign_id,campaign_name,audience_segment,region,customer_type,treatment_group,reach_pct,frequency,impressions,spend_cad,brand_awareness,purchase_intent,website_visit,store_visit,conversion
39,NSB-03,Late Night,35-44,Alberta,Existing,Treatment,71.9,1.0,70,18.8,0.5305,0.2808,0,0,0
40,NSB-02,Summer Value,45-54,Alberta,New,Control,47.9,2.97,148,32.42,0.4591,0.2622,0,0,0
41,NSB-01,Spring Launch,45-54,British Columbia,New,Control,76.3,1.0,93,23.32,0.4529,0.2226,0,0,0
42,NSB-02,Summer Value,35-44,Manitoba,New,Control,66.7,4.77,370,103.52,0.4594,0.2422,0,0,0
43,NSB-01,Spring Launch,35-44,Ontario,Existing,Treatment,45.4,1.43,55,39.5,0.5834,0.2731,0,0,0
44,NSB-04,Family Meals,18-24,Manitoba,Existing,Treatment,77.6,3.94,392,110.19,0.4897,0.1935,0,0,0
45,NSB-01,Spring Launch,18-24,Alberta,Existing,Control,68.5,2.24,175,36.75,0.4753,0.2144,0,0,0
46,NSB-03,Late Night,18-24,British Columbia,Existing,Control,92.1,4.51,471,99.51,0.5038,0.2043,0,0,0
47,NSB-02,Summer Value,18-24,Ontario,Existing,Control,82.2,1.3,140,56.01,0.4327,0.1963,1,0,0
48,NSB-02,Summer Value,25-34,Alberta,New,Control,40.7,4.84,251,89.9,0.4385,0.2642,0,0,0
49,NSB-02,Summer Value,25-34,Manitoba,Existing,Control,61.0,7.89,598,154.48,0.4019,0.2568,0,1,0
50,NSB-01,Spring Launch,35-44,Manitoba,New,Control,67.3,3.34,296,60.6,0.3724,0.2112,0,0,0
51,NSB-04,Family Meals,35-44,Alberta,Existing,Control,69.1,2.48,223,53.88,0.4702,0.2289,0,0,0
52,NSB-03,Late Night,35-44,British Columbia,New,Control,51.1,7.28,458,108.54,0.3871,0.2472,1,0,0
53,NSB-04,Family Meals,25-34,Ontario,New,Control,66.3,9.46,751,165.49,0.4408,0.2231,0,0,0
54,NSB-04,Family Meals,25-34,Quebec,New,Treatment,60.8,2.27,148,33.22,0.4466,0.2962,0,0,0
55,NSB-03,Late Night,45-54,British Columbia,Existing,Treatment,52.3,2.05,148,28.65,0.4826,0.2597,0,0,0
56,NSB-04,Family Meals,18-24,Manitoba,Existing,Treatment,57.6,4.04,246,81.05,0.3933,0.2259,0,0,0
57,NSB-01,Spring Launch,45-54,Alberta,New,Treatment,57.9,1.93,129,32.09,0.506,0.2437,0,0,0
58,NSB-01,Spring Launch,25-34,Ontario,Existing,Treatment,92.6,6.39,684,159.57,0.5144,0.2693,0,0,0
59,NSB-01,Spring Launch,25-34,Alberta,New,Control,82.6,2.81,270,52.39,0.4304,0.2749,0,0,0
60,NSB-02,Summer Value,18-24,Alberta,New,Control,69.4,4.07,331,101.57,0.4376,0.2236,0,0,0
61,NSB-02,Summer Value,18-24,Alberta,New,Treatment,39.7,2.66,149,21.84,0.4242,0.2613,0,0,0
62,NSB-01,Spring Launch,25-34,Ontario,Existing,Control,86.1,1.65,184,33.22,0.4293,0.2889,0,0,0
63,NSB-04,Family Meals,35-44,Manitoba,New,Control,34.6,2.03,73,13.09,0.4277,0.2384,0,0,0
64,NSB-02,Summer Value,25-34,Ontario,New,Control,45.7,2.51,105,16.82,0.4657,0.2708,0,0,0
65,NSB-02,Summer Value,35-44,Quebec,Existing,Treatment,42.2,7.92,394,117.72,0.4208,0.2562,0,1,0
66,NSB-02,Summer Value,25-34,Ontario,Existing,Control,50.9,1.8,93,26.02,0.4186,0.2408,1,1,0
67,NSB-01,Spring Launch,25-34,Quebec,New,Control,90.2,1.78,161,28.21,0.4571,0.2689,1,0,0
68,NSB-04,Family Meals,45-54,Quebec,New,Treatment,76.7,6.05,527,161.13,0.4704,0.2698,0,0,0
69,NSB-01,Spring Launch,45-54,Alberta,Existing,Treatment,68.9,1.85,141,53.29,0.4898,0.2787,0,0,0
70,NSB-04,Family Meals,25-34,Quebec,New,Control,65.1,1.36,107,26.71,0.4283,0.2492,0,0,0
71,NSB-03,Late Night,25-34,Quebec,New,Control,50.9,6.91,424,115.72,0.4589,0.2558,0,0,0
72,NSB-01,Spring Launch,18-24,Ontario,New,Treatment,77.3,2.25,163,57.15,0.4517,0.2369,0,0,0
73,NSB-01,Spring Launch,45-54,Quebec,New,Control,86.9,1.0,121,43.66,0.3904,0.2155,1,0,0
74,NSB-04,Family Meals,25-34,Ontario,New,Control,78.5,1.38,124,23.86,0.4653,0.2061,0,0,0
75,NSB-03,Late Night,45-54,Ontario,Existing,Control,74.3,3.17,287,94.21,0.4628,0.2237,0,0,0
76,NSB-03,Late Night,25-34,British Columbia,New,Treatment,80.1,4.69,442,83.28,0.5831,0.3319,0,0,1
77,NSB-03,Late Night,45-54,Ontario,Existing,Control,66.0,6.07,490,153.29,0.4001,0.2053,0,0,0
78,NSB-01,Spring Launch,25-34,Ontario,Existing,Treatment,35.2,3.58,164,67.41,0.5404,0.2969,1,0,0
79,NSB-02,Summer Value,25-34,Quebec,New,Treatment,82.1,4.28,430,75.65,0.4923,0.2964,0,0,1
80,NSB-01,Spring Launch,35-44,Quebec,New,Treatment,49.3,1.0,89,23.26,0.526,0.276,0,0,0
81,NSB-04,Family Meals,45-54,Manitoba,New,Treatment,65.4,2.22,174,70.92,0.4088,0.2701,0,0,0
82,NSB-03,Late Night,45-54,Alberta,New,Treatment,92.2,2.78,309,78.71,0.4786,0.2782,0,0,0
83,NSB-02,Summer Value,35-44,Quebec,New,Treatment,64.6,6.29,492,118.88,0.4483,0.2942,0,0,0
84,NSB-01,Spring Launch,35-44,Ontario,New,Control,89.6,3.94,441,149.72,0.4402,0.2481,0,0,0
85,NSB-02,Summer Value,35-44,Quebec,New,Control,67.3,6.26,501,126.97,0.4413,0.2558,0,0,0
86,NSB-02,Summer Value,35-44,Alberta,New,Treatment,52.5,1.62,114,52.21,0.4652,0.2572,0,0,0
87,NSB-03,Late Night,45-54,Quebec,Existing,Treatment,63.8,6.51,493,163.69,0.5279,0.2712,0,0,0
88,NSB-03,Late Night,25-34,British Columbia,New,Treatment,57.0,3.65,254,53.28,0.5945,0.3462,0,0,0
89,NSB-04,Family Meals,35-44,Quebec,New,Treatment,81.3,3.36,324,61.72,0.4823,0.3415,1,0,0
90,NSB-02,Summer Value,35-44,Quebec,New,Control,62.3,1.03,82,22.7,0.4554,0.2602,0,0,0
91,NSB-01,Spring Launch,35-44,Quebec,New,Control,75.8,5.02,471,114.01,0.416,0.277,0,0,0
92,NSB-03,Late Night,45-54,British Columbia,Existing,Treatment,70.9,4.54,405,88.51,0.4656,0.2579,0,0,0
93,NSB-03,Late Night,25-34,Quebec,New,Control,37.4,3.57,147,28.26,0.452,0.2171,0,1,0
94,NSB-03,Late Night,25-34,Manitoba,New,Control,53.9,2.21,155,45.39,0.4271,0.2491,0,0,0
95,NSB-03,Late Night,25-34,Ontario,Existing,Treatment,65.7,5.95,459,135.53,0.5456,0.3467,0,0,0
96,NSB-02,Summer Value,25-34,British Columbia,Existing,Treatment,59.7,1.0,80,27.78,0.5015,0.2963,0,0,0
97,NSB-02,Summer Value,25-34,Ontario,New,Treatment,67.4,1.39,107,25.66,0.479,0.2609,0,0,0
98,NSB-02,Summer Value,45-54,Quebec,New,Treatment,73.4,1.93,146,33.11,0.4779,0.2458,0,0,0
99,NSB-01,Spring Launch,35-44,Ontario,Existing,Control,81.2,2.81,275,92.93,0.4675,0.2584,0,0,0
100,NSB-01,Spring Launch,45-54,Quebec,Existing,Control,70.0,4.62,354,92.16,0.4053,0.1882,0,0,0
101,NSB-01,Spring Launch,18-24,Alberta,New,Treatment,66.8,2.22,166,39.29,0.4351,0.2979,0,0,0
102,NSB-03,Late Night,45-54,Ontario,Existing,Control,74.0,2.85,252,56.37,0.4449,0.2302,0,0,0
103,NSB-02,Summer Value,35-44,Quebec,New,Treatment,55.8,1.35,88,17.57,0.5246,0.2836,0,0,0
104,NSB-02,Summer Value,18-24,Ontario,New,Control,68.5,1.56,96,23.24,0.4578,0.2718,0,0,0
105,NSB-04,Family Meals,35-44,Alberta,Existing,Treatment,71.3,4.23,357,106.92,0.5098,0.2498,0,0,0
106,NSB-01,Spring Launch,45-54,Manitoba,New,Treatment,66.5,1.87,134,39.21,0.4844,0.2105,0,0,0
107,NSB-02,Summer Value,18-24,Alberta,New,Control,64.7,6.24,483,76.15,0.4684,0.2251,0,0,0
108,NSB-03,Late Night,35-44,British Columbia,Existing,Control,75.3,3.44,301,54.4,0.4362,0.2058,0,0,0
109,NSB-01,Spring Launch,45-54,Manitoba,New,Treatment,50.2,1.76,109,11.21,0.4426,0.2315,0,0,0
110,NSB-01,Spring Launch,18-24,Quebec,New,Treatment,52.5,2.12,139,50.12,0.4901,0.2593,0,0,0
111,NSB-02,Summer Value,35-44,Ontario,New,Control,61.9,2.52,196,64.34,0.4382,0.2501,0,0,1
112,NSB-01,Spring Launch,25-34,Ontario,New,Control,81.1,3.67,369,71.08,0.4625,0.2331,0,0,0
113,NSB-04,Family Meals,25-34,Alberta,Existing,Control,43.7,6.93,370,106.9,0.5374,0.2117,0,0,0
114,NSB-04,Family Meals,35-44,Alberta,Existing,Treatment,80.2,2.29,213,31.59,0.4523,0.371,0,1,0
115,NSB-03,Late Night,18-24,Alberta,Existing,Control,86.2,7.51,771,162.45,0.4612,0.2189,0,0,0
116,NSB-04,Family Meals,35-44,Ontario,Existing,Treatment,68.2,1.87,146,25.74,0.501,0.2957,0,0,0
117,NSB-04,Family Meals,18-24,British Columbia,New,Control,49.3,4.66,276,81.21,0.4205,0.2211,0,0,0
118,NSB-01,Spring Launch,25-34,Quebec,Existing,Control,40.1,5.22,257,63.49,0.4452,0.2803,0,0,0
119,NSB-04,Family Meals,25-34,Ontario,Existing,Treatment,95.0,5.68,629,156.69,0.5314,0.28,0,0,0
120,NSB-02,Summer Value,25-34,Ontario,New,Control,46.9,10.0,526,148.76,0.4857,0.2993,0,0,1
121,NSB-04,Family Meals,25-34,British Columbia,New,Control,57.4,2.12,167,41.45,0.4569,0.3416,0,0,0
122,NSB-04,Family Meals,45-54,Ontario,Existing,Treatment,37.6,2.59,98,29.34,0.4364,0.2094,0,0,0
123,NSB-02,Summer Value,45-54,British Columbia,Existing,Control,34.0,2.49,72,15.29,0.4112,0.2298,0,0,0
124,NSB-01,Spring Launch,45-54,Alberta,Existing,Treatment,75.2,3.53,336,70.78,0.4402,0.2299,0,0,0
125,NSB-01,Spring Launch,35-44,Alberta,New,Treatment,56.2,6.42,409,110.69,0.4711,0.3155,0,0,0
126,NSB-02,Summer Value,45-54,Alberta,Existing,Treatment,77.8,4.19,387,79.5,0.5126,0.2575,0,0,0
127,NSB-04,Family Meals,45-54,Alberta,New,Control,59.8,3.72,267,58.98,0.4109,0.2044,0,0,0
128,NSB-04,Family Meals,25-34,Quebec,Existing,Control,83.3,2.66,303,75.54,0.4106,0.2206,0,1,0
129,NSB-01,Spring Launch,25-34,Quebec,Existing,Treatment,60.1,5.6,406,117.9,0.5214,0.3314,0,0,1
130,NSB-02,Summer Value,18-24,British Columbia,New,Treatment,79.4,6.03,582,150.02,0.5165,0.2648,0,0,0
131,NSB-02,Summer Value,25-34,British Columbia,New,Treatment,50.1,2.56,156,20.66,0.4909,0.3012,0,0,0
132,NSB-01,Spring Launch,45-54,Ontario,New,Treatment,53.2,2.82,149,19.95,0.444,0.278,0,0,0
133,NSB-01,Spring Launch,35-44,Manitoba,New,Control,50.6,5.14,311,66.68,0.3851,0.2163,0,0,0
134,NSB-02,Summer Value,35-44,British Columbia,New,Control,55.6,1.0,81,8.53,0.3713,0.2522,0,0,0
135,NSB-04,Family Meals,18-24,Ontario,New,Treatment,40.3,3.13,139,29.82,0.4941,0.2411,0,0,0
136,NSB-02,Summer Value,18-24,Ontario,Existing,Treatment,49.8,4.51,264,77.61,0.4979,0.231,0,0,0
137,NSB-02,Summer Value,25-34,Ontario,New,Control,50.3,2.09,107,39.02,0.4763,0.2472,0,0,0
138,NSB-03,Late Night,45-54,Ontario,New,Treatment,94.0,1.18,156,43.57,0.4207,0.2522,0,0,0
139,NSB-02,Summer Value,25-34,British Columbia,Existing,Treatment,62.9,5.39,415,96.51,0.4944,0.2682,0,1,0
140,NSB-04,Family Meals,45-54,Quebec,Existing,Treatment,59.0,6.27,472,81.11,0.4526,0.2585,0,0,0
141,NSB-04,Family Meals,18-24,Manitoba,New,Control,76.2,6.12,534,143.1,0.3937,0.257,0,0,0
142,NSB-01,Spring Launch,35-44,Alberta,New,Control,58.1,5.29,351,101.08,0.3923,0.2623,0,0,0
143,NSB-02,Summer Value,35-44,Alberta,New,Treatment,69.5,4.48,383,102.73,0.5107,0.2911,0,0,0
144,NSB-02,Summer Value,45-54,Alberta,Existing,Control,74.9,1.88,209,67.67,0.4767,0.2162,0,0,1
145,NSB-02,Summer Value,18-24,British Columbia,Existing,Treatment,74.1,4.85,428,103.76,0.5037,0.214,0,0,0
146,NSB-01,Spring Launch,18-24,Alberta,Existing,Treatment,64.5,2.89,221,64.39,0.4593,0.2247,0,0,0
147,NSB-03,Late Night,25-34,Ontario,Existing,Control,66.6,1.43,93,21.68,0.4917,0.2711,0,0,0
148,NSB-02,Summer Value,45-54,British Columbia,Existing,Treatment,70.3,1.84,159,44.4,0.4588,0.2707,0,0,0
149,NSB-01,Spring Launch,18-24,Alberta,New,Control,72.9,1.68,162,28.67,0.4752,0.2626,0,0,0
150,NSB-01,Spring Launch,18-24,Ontario,Existing,Treatment,70.1,4.13,369,95.96,0.4751,0.2507,0,0,0
151,NSB-04,Family Meals,35-44,Ontario,Existing,Control,67.3,3.84,307,52.43,0.416,0.2556,0,0,0
152,NSB-01,Spring Launch,35-44,Ontario,New,Treatment,50.9,1.44,71,24.15,0.4442,0.2956,0,0,0
153,NSB-01,Spring Launch,45-54,Alberta,New,Control,73.4,4.82,424,124.54,0.369,0.2153,0,0,0
154,NSB-02,Summer Value,45-54,Alberta,New,Control,46.8,3.81,214,53.62,0.4617,0.2445,0,0,0
155,NSB-04,Family Meals,35-44,Ontario,New,Treatment,65.4,2.75,241,62.33,0.526,0.2735,1,0,0
156,NSB-01,Spring Launch,45-54,Ontario,New,Control,67.2,4.76,412,70.43,0.4432,0.2095,0,0,0
157,NSB-03,Late Night,35-44,Ontario,New,Treatment,43.0,9.01,456,126.21,0.5217,0.2767,0,0,0
158,NSB-03,Late Night,25-34,Quebec,Existing,Treatment,54.0,2.24,176,35.72,0.5446,0.318,1,1,0
159,NSB-01,Spring Launch,45-54,Alberta,Existing,Treatment,84.2,3.09,338,70.79,0.4654,0.2507,0,0,0
160,NSB-03,Late Night,35-44,Ontario,Existing,Treatment,52.7,5.12,322,85.67,0.5108,0.3001,0,0,0
161,NSB-02,Summer Value,25-34,British Columbia,Existing,Treatment,73.7,6.41,586,160.71,0.4469,0.3177,0,0,0
162,NSB-03,Late Night,35-44,Ontario,New,Treatment,47.1,2.62,130,32.09,0.4953,0.2879,0,0,0
163,NSB-03,Late Night,25-34,British Columbia,New,Control,44.1,3.77,179,16.75,0.4434,0.1857,0,0,0
164,NSB-02,Summer Value,18-24,Ontario,New,Control,76.2,3.05,306,81.33,0.4083,0.2553,0,0,0
165,NSB-01,Spring Launch,35-44,Quebec,New,Treatment,81.7,3.43,338,97.4,0.4335,0.3256,0,1,0
166,NSB-04,Family Meals,45-54,Quebec,New,Control,65.2,1.97,155,61.25,0.4572,0.2484,0,1,0
167,NSB-02,Summer Value,35-44,British Columbia,New,Control,70.9,2.28,195,54.23,0.421,0.2193,0,0,0
168,NSB-01,Spring Launch,25-34,Manitoba,Existing,Control,85.1,3.73,363,72.27,0.417,0.2429,0,1,0
169,NSB-01,Spring Launch,45-54,Alberta,Existing,Treatment,61.9,4.66,323,72.4,0.4149,0.2611,0,0,0
170,NSB-03,Late Night,18-24,Quebec,New,Treatment,66.1,1.28,83,31.66,0.4957,0.2594,0,0,0
171,NSB-03,Late Night,25-34,Alberta,New,Control,61.6,3.21,253,71.71,0.5004,0.2546,0,0,0
172,NSB-01,Spring Launch,25-34,Ontario,New,Treatment,53.8,10.0,663,217.2,0.5376,0.3113,0,0,0
173,NSB-02,Summer Value,18-24,Ontario,New,Control,42.3,4.89,278,59.61,0.4215,0.2571,1,0,0
174,NSB-01,Spring Launch,25-34,Ontario,New,Treatment,51.9,3.45,187,50.63,0.5612,0.3031,1,0,0
175,NSB-03,Late Night,35-44,British Columbia,Existing,Control,82.3,1.29,124,41.06,0.3754,0.2172,0,0,0
176,NSB-01,Spring Launch,45-54,Ontario,Existing,Control,89.4,3.32,372,110.78,0.4728,0.1964,0,0,0
177,NSB-03,Late Night,45-54,British Columbia,Existing,Control,48.8,2.11,114,18.16,0.4457,0.2429,0,0,0
178,NSB-02,Summer Value,45-54,Alberta,Existing,Control,76.1,1.0,90,37.38,0.4308,0.2478,0,0,0
179,NSB-04,Family Meals,25-34,Quebec,New,Control,61.4,6.26,463,91.34,0.4343,0.2477,0,0,0
180,NSB-01,Spring Launch,35-44,British Columbia,Existing,Treatment,87.8,4.9,506,92.67,0.5046,0.2935,0,0,0
181,NSB-02,Summer Value,45-54,British Columbia,Existing,Control,64.5,3.23,237,40.38,0.4581,0.222,0,0,0
182,NSB-01,Spring Launch,25-34,British Columbia,Existing,Treatment,55.0,2.7,189,54.22,0.5117,0.3377,0,0,0
183,NSB-04,Family Meals,35-44,Quebec,Existing,Treatment,68.0,5.78,450,136.11,0.4994,0.2956,1,0,0
184,NSB-04,Family Meals,25-34,Ontario,Existing,Control,42.7,2.14,106,8.72,0.4204,0.264,0,0,0
185,NSB-01,Spring Launch,25-34,Ontario,Existing,Treatment,67.2,4.07,324,99.11,0.5477,0.309,1,0,0
186,NSB-03,Late Night,35-44,Manitoba,New,Treatment,60.5,4.81,360,78.76,0.5363,0.3225,0,0,0
187,NSB-04,Family Meals,35-44,Manitoba,New,Treatment,60.5,4.19,322,53.02,0.5724,0.2812,0,0,0
188,NSB-03,Late Night,35-44,Alberta,New,Treatment,55.5,5.23,349,78.97,0.5717,0.3057,0,0,0
189,NSB-02,Summer Value,25-34,Alberta,New,Treatment,53.1,4.04,239,67.82,0.4885,0.2777,0,0,0
190,NSB-01,Spring Launch,35-44,Ontario,New,Treatment,69.4,1.62,115,50.36,0.4908,0.2912,0,0,1
191,NSB-01,Spring Launch,45-54,Ontario,Existing,Treatment,66.2,1.14,101,28.99,0.5133,0.2581,0,0,0
192,NSB-04,Family Meals,45-54,Quebec,Existing,Treatment,61.8,6.04,432,126.23,0.4927,0.2571,0,0,0
193,NSB-04,Family Meals,25-34,Ontario,Existing,Treatment,70.5,5.46,441,85.38,0.5093,0.3023,0,0,0
194,NSB-03,Late Night,18-24,British Columbia,Existing,Control,63.6,3.78,250,66.49,0.4347,0.2268,0,0,0
195,NSB-02,Summer Value,35-44,Manitoba,New,Control,61.4,2.68,201,56.53,0.4553,0.2392,0,0,0
196,NSB-02,Summer Value,25-34,Ontario,Existing,Treatment,54.6,5.73,362,91.61,0.5387,0.3053,0,0,0
197,NSB-03,Late Night,18-24,Ontario,Existing,Treatment,81.2,2.52,221,52.27,0.5207,0.206,0,0,0
198,NSB-04,Family Meals,25-34,Alberta,New,Control,95.0,1.0,117,8.43,0.4292,0.259,0,0,1
199,NSB-04,Family Meals,45-54,British Columbia,Existing,Treatment,29.0,2.3,95,19.97,0.4411,0.283,0,0,0
200,NSB-03,Late Night,35-44,Ontario,New,Treatment,61.3,3.91,288,87.67,0.5162,0.325,0,1,0
201,NSB-03,Late Night,25-34,Ontario,Existing,Control,62.4,1.0,54,8.0,0.402,0.2724,0,0,0
202,NSB-01,Spring Launch,25-34,Ontario,New,Treatment,67.4,1.21,73,24.98,0.5728,0.3197,0,0,0
203,NSB-01,Spring Launch,35-44,Ontario,Existing,Treatment,95.0,4.19,457,102.36,0.48,0.291,0,0,0
204,NSB-04,Family Meals,25-34,Ontario,Existing,Treatment,65.8,9.45,769,214.87,0.4751,0.3185,0,0,0
205,NSB-03,Late Night,35-44,Alberta,New,Control,59.8,2.66,214,65.07,0.3807,0.2219,0,0,0
206,NSB-01,Spring Launch,18-24,Ontario,Existing,Treatment,74.2,3.84,333,91.0,0.4732,0.231,0,0,0
207,NSB-01,Spring Launch,25-34,Manitoba,Existing,Control,77.5,1.41,144,22.75,0.4156,0.2501,0,0,0
208,NSB-03,Late Night,25-34,Ontario,New,Control,55.9,5.08,371,75.85,0.4328,0.2701,0,0,0
209,NSB-01,Spring Launch,35-44,British Columbia,New,Control,63.7,2.03,153,36.89,0.4064,0.2681,0,0,0
210,NSB-01,Spring Launch,35-44,British Columbia,New,Control,64.3,4.57,350,86.16,0.4532,0.2503,0,0,0
211,NSB-02,Summer Value,25-34,Quebec,Existing,Treatment,89.2,1.0,109,23.44,0.4866,0.2463,0,0,0
212,NSB-03,Late Night,18-24,Ontario,New,Control,67.1,1.82,154,36.97,0.5358,0.2227,0,0,0
213,NSB-03,Late Night,25-34,Ontario,Existing,Control,71.8,5.63,486,159.65,0.4286,0.2794,0,0,0
214,NSB-01,Spring Launch,35-44,Quebec,New,Control,56.0,2.78,199,76.88,0.4027,0.197,0,0,0
215,NSB-03,Late Night,18-24,Quebec,New,Control,71.9,7.23,612,167.94,0.4233,0.2052,0,0,0
216,NSB-01,Spring Launch,18-24,Ontario,Existing,Treatment,62.8,2.13,158,63.72,0.4103,0.2076,0,0,0
217,NSB-02,Summer Value,35-44,Ontario,New,Treatment,61.1,1.51,135,49.84,0.5241,0.3137,0,0,0
218,NSB-03,Late Night,35-44,Quebec,New,Treatment,56.3,1.0,67,10.6,0.594,0.3179,0,0,0
219,NSB-03,Late Night,25-34,Ontario,Existing,Control,68.2,3.76,282,90.74,0.481,0.2468,0,0,0
220,NSB-04,Family Meals,25-34,Quebec,Existing,Control,62.7,2.22,143,25.88,0.4589,0.2545,0,0,0
221,NSB-03,Late Night,45-54,Quebec,New,Treatment,50.5,4.54,292,29.53,0.5335,0.2622,0,0,0
222,NSB-03,Late Night,45-54,Ontario,Existing,Treatment,51.4,4.24,260,67.74,0.4305,0.2626,0,0,0
223,NSB-01,Spring Launch,25-34,Quebec,New,Control,68.1,3.54,272,53.62,0.4458,0.2462,0,1,0
224,NSB-02,Summer Value,45-54,Alberta,Existing,Treatment,66.4,3.06,257,62.76,0.457,0.2252,0,0,0
225,NSB-01,Spring Launch,35-44,Manitoba,New,Control,74.4,1.57,137,36.79,0.4302,0.2618,0,0,0
226,NSB-01,Spring Launch,45-54,Alberta,New,Treatment,66.9,3.9,367,80.24,0.4851,0.2653,0,1,0
227,NSB-04,Family Meals,25-34,Ontario,Existing,Control,48.6,6.44,366,95.12,0.4994,0.2956,1,0,0
228,NSB-02,Summer Value,35-44,Manitoba,New,Treatment,73.6,1.99,191,55.68,0.5015,0.2636,0,1,0
229,NSB-04,Family Meals,35-44,Ontario,Existing,Control,52.1,4.42,273,56.28,0.4567,0.2525,0,0,0
230,NSB-03,Late Night,25-34,Quebec,New,Treatment,80.5,2.55,259,61.87,0.4798,0.2972,1,0,0
